id,title,year,gross
3281029,(500) Days of Summer,2009,32391374
3281254,(Untitled),2009,230600
3282830,10 Years,2011,203373
3284251,12 O'Clock Boys,2013,44108
3284268,12 Rounds,2009,12232937
3284317,12 Years a Slave,2013,56671993
3284421,127 Hours,2010,18335230
3285356,17 Again,2009,64167069
3285802,180° South,2010,29084
3287702,2 Guns,2013,75612460
3288398,200 Cartas,2013,6733
3289227,2012,2009,166112167
3289333,2012: Time for Change,2010,68339
3289632,2016: Obama's America,2012,33449086
3289871,21 & Over,2013,25682380
3289934,21 Jump Street,2012,138447667
3290989,28 Hotel Rooms,2012,16017
3292134,30 Beats,2012,14686
3292228,30 Minutes or Less,2011,37053924
3292839,360,2011,99603
3293929,42,2013,95001343
3294193,47 Ronin,2013,38362475
3294373,4:44 Last Day on Earth,2011,15738
3294594,5 Days of War,2011,17149
3295202,50/50,2011,35014192
3295783,6 Month Rule,2011,11158
3297689,8: The Mormon Proposition,2010,100135
3297777,9,2009,31743332
3298918,A Band Called Death,2012,125856
3299266,A Better Life,2011,1759252
3299423,A Bird of the Air,2011,3819
3301183,A Chemical Skyline,2010,1100
3301433,A Christmas Carol,2009,137855863
3302993,A Dangerous Method,2011,5702083
3305662,A Fierce Green Fire,2012,29570
3306993,A Girl and a Gun,2013,2262
3307386,A Good Day to Die Hard,2013,67349198
3307500,A Good Old Fashioned Orgy,2011,154604
3308124,A Haunted House,2013,40041683
3309910,A Late Quartet,2012,1561577
3310523,A Little Bit of Heaven,2011,10011
3310620,A Little Help,2010,85789
3311413,A Madea Christmas,2013,52440051
3311962,A Master Builder,2013,46874
3314362,A Nightmare on Elm Street,2010,63075011
3315151,A Perfect Getaway,2009,15536310
3315161,A Perfect Man,2013,388
3315371,A Picture of You,2013,5650
3315526,A Place at the Table,2012,230522
3317174,A Resurrection,2013,10730
3318296,A Serious Man,2009,9190525
3318831,A Single Man,2009,9166863
3318842,A Single Shot,2013,10020
3321331,A Thousand Words,2012,18438149
3321674,A torinói ló,2011,53690
3322704,A Very Harold & Kumar 3D Christmas,2011,35033759
3324700,A Year in Mooring,2011,29604
3325130,A.C.O.D.,2013,172344
3326434,Aatsinki: The Story of Arctic Cowboys,2013,2842
