id,title,year,taglines
3280028,$ellebrity,2012,"Fame has its price."
3280860,"'Til Morning",2013,"Think Happy Thoughts."
3281029,"(500) Days of Summer",2009,"Boy meets girl. Boy falls in love. Girl doesn't.,This is not a love story. This is a story about love.,It was almost like falling in love."
3281042,(A)sexual,2011,"Not everybody's doing it."
3281237,"(Un)Common Sounds",2013,"Beyond Common Ground to (un)Common Sounds"
3281254,(Untitled),2009,"Everyone's got an opinion."
3281320,+1,2013,"Everyone Wants One"
3281817,.357,2013,"Six bullets marked for revenge,This bitch is pissed!"
3281863,"/afk: Away from Keyboard",2011,"Twelve million gamers escape into the World of Warcraft each day. Is it possible for an escape to become an addiction?"
3282098,1,2013,"The True Story of the Drivers Who Risked Their Lives and Changed the Sport Forever"
3282125,"1 a Minute",2010,"Every 69 seconds, somewhere in the world, a woman dies of breast cancer... Let's stop the clock.,Stories of hope, courage, and survival.,What will YOU do?,How does one survive the cancer journey? Destination Survival covers interviews with celebrity cancer survivors from around the world and those touched by it."
3282155,"1 Dead Party",2013,"Come in. Have a drink. DIE."
3282182,"1 in 3",2010,"It's Closer Than You Think!"
3282216,"1 Message",2011,"A body disfigured by cancer. A treasure found inside."
3282261,"1 Out of 7",2011,"Two million American youth run away from home each year. One in seven will live on the streets before the age of 18. This is one of their stories."
3282360,"1,001 Ways to Enjoy the Missionary Position",2010,"Two couples, a government official, and an instruction manual. Do the math."
3282482,1/20,2010,"We are the 1/20 Generation, and we have run away from our teachers.,Give Us Love, Give Us Infamy and Give Us Anarchy, or Give Us Back America."
3282757,"10 Rules for Sleeping Around",2013,"Now It's Our Turn."
3282830,"10 Years",2011,"Who Got Fat? Who Didn't Change? Who Got Rich? Who Got Hot?"
3282922,10/10,2011,"Forget Hindsight"
3282952,"100 Bands in 100 Days",2010,"Come along as one music fan endures 100 consecutive nights of live music, beer and self-discovery. Let's go binge gigging."
3282985,"100 Degrees Below Zero",2013,"Cold as hell!"
3282999,"100 Ghost Street: The Return of Richard Speck",2012,"45 years after the massacre, paranormal investigators search for America's most notorious mass murderer."
3283046,"100 Lives",2009,"How far would you go to keep the peace."
3283105,"100 Proof",2010,"All you'll find at the bottom of the bottle is emptiness."
3283771,"10th Gear Jettride: 3800 Miles to a Cure",2009,"10th Gear Jettride"
3283866,11-11-11,2011,"Mark the date. You can't stop what's coming.,The end is now"
3283969,"113 Days",2013,"25 Players. 2 Coaches. 113 Days until the National Championship Game."
3283996,"116 Muscles",2009,"When the human body reaches full climax, 116 MUSCLES all contract at the same time, producing a feeling incomparable from any other climax you can achieve."
3284133,"12 Counts of Deception",2011,"A secret code has been discovered to shock the world,The secrets of the world has been exposed."
3284317,"12 Years a Slave",2013,"The extraordinary true story of Solomon Northup"
3284421,"127 Hours",2010,"Every Second Counts,There is no force more powerful than the will to live."
3284505,13,2010,"Spin. Aim. Survive. [Scandinavian DVD.],Who will be the last man standing? [Scandinavian DVD.]"
3284544,"13 Days of the Beast",2009,"Lone Wolf Films"
3284681,"13, 195, 6 und 1",2013,"You are here, only one way to go from here."
3284693,13/13/13,2013,"On this day... we are all demon."
3284727,"1320: A West Coast Story",2009,"The ""anti"" - Fast and Furious"
3284776,"13th Annual Young Hollywood Awards",2011,"Oscars of young Hollywood."
3284799,"13th Sign",2011,"Open the Gates and Unleash Hell"
3285090,"15 North",2013,"Don't forget your fanny pack."
3285109,"15 Till Midnight",2010,"They Know...,Your Time is Running Out..."
3285222,"16 Acres",2012,"Sacred Ground. Prime Real Estate. Battle Royale."
3285275,16-Love,2012,"Game...Set...the Perfect Match!"
3285311,1666,2011,"When death comes knocking... AGAIN!"
3285356,"17 Again",2009,"Who says you're only young once?,Back to High School"
3285390,"17 Miracles",2011,"Something Extraordinary Is About To Happen"
3285802,"180° South",2010,"Conquerors of the Useless"
3285904,"18q: A Different Kind of Normal",2011,"DNA defines us as normal, or not. What does it mean when we are not?"
3287537,"2 Brothers: The Movie",2012,"Respect, loyalty, and power gets you a long way in life."
3287619,"2 Dead 2 Kill",2013,"Redemption comes at a price.,No one could kill him... only she could save him.,Alphonse Dente's methods were.... unusual, but effective."
3287633,"2 Dudes and a Dream",2009,"Believe The Hype"
3287702,"2 Guns",2013,"2 Guns, 1 Bank."
3288236,"20 Mississippi",2009,"Open your eyes. What do you see?"
3288299,"20 Year Old Virgins",2011,"Can two nerds ever catch a break... and get laid."
3288517,"2001 Maniacs: Field of Screams",2010,"If They Kill You, They Will Come!"
3289065,"201 Belmont",2009,"What you don't know can hurt you and who you know may just kill you.,If something sounds to good to be true, It might just kill you!"
3289227,2012,2009,"We Were Warned.,Who will be left behind?,The end is just the beginning.,First, the Mayan calendar predicted it...Now, science has confirmed it...but we never imagined it could really happen.,Mankind's earliest civilization warned us this day would come...,Find out the truth. Search: 2012,How will you survive? Search: 2012,How would the governments of our planet prepare 6 billion people for the end of the world...? They wouldn't."
3289234,"2012 - A Wrinkle in Time",2010,"A look at the possibilities beneath the prophecies of 2012"
3289268,"2012 Gold Rush Expedition Race",2013,"Educationally Grounded, Professionally Driven, Student Produced"
3289333,"2012: Time for Change",2010,"Evolve to Solve!"
3289632,"2016: Obama's America",2012,"Love him or hate him, you don't know him.,The movie is everyone is talking about.,Love him. Hate him. You don't know him.,Based on The New York Times Bestseller by Dinesh D'Souza.,From Gerald R. Molen Producer of Academy Award Winning Best Picture Schindler's List.,Based on The New York Times Best Seller by Dinesh D'Souza."
3289789,2084,2009,"By the law you must abide. Stay inside."
3289871,"21 & Over",2013,"Finally.,Blackout the date,A Night You'll Never Remember"
3289889,"21 and a Wake-Up",2009,"A story of Vietnam"
3289934,"21 Jump Street",2012,"The only thing getting blown tonight is their cover.,They're too old for this shift.,They thought the streets were mean. Then they went back to high school.,They're getting too old for this shift. (DVD box tagline)"
3290175,23,2010,"Stopping The Terrorists Before They Have It Their Way,Stop the terrorists before they have it their way"
3290211,"23 Seconds",2010,"Timing is everything."
3290584,"247°F",2011,"Every minute counts when every degree matters,No one plans to be locked in the Sauna,Sauna is hot in a cool way,Deep fried or slow roasted ?!,This thing can heat up to 250 degrees"
3290682,"25 Hill",2011,"Save the Dream, Save the Tradition, Save the Derby!"
3290749,"25 Yang: Rise of a Sensation",2011,"In 1991 he arrived... In 2011, he will rise."
3290992,"28 Hours Later: The Zombie Movie",2010,"Seems to me...they just don't know when to die.,Lights...camera...ZOMBIES."
3291086,"29000 Wishes. 1 Regret.",2012,"Let's have a great time before we end it"
3291112,"2: Voodoo Academy",2012,"The sequel to the most talked about horror film of the 1990s!"
3291119,2:13,2009,"Killers Are Not Born ... They Are Made"
3291395,"3 Billion and Counting",2010,"The story of DDT: The most loved and hated chemical on the planet"
3291425,"3 Cats and a Man",2012,"There is a remedy for jealousy"
3291485,"3 Days in L.A.",2009,"Two sides to every story"
3291567,"3 Geezers!",2013,"Cocoon meets The Hangover,A Funny Movie"
3291662,"3 Magic Words",2010,"Can three words change the world?"
3291777,"3 of Us",2009,"Fairytale Gone Wrong."
3291899,"3 Teams: A Youth Sports Story",2013,"A Dad/Coach/Former Player searches for answers in the increasingly crazy world of Youth Sports while coaching each of his 3 kids' teams."
3291911,"3 Times a Charm",2011,"3 Charms...3 Chances!"
3292086,"3.11: Surviving Japan",2013,"Natural Disaster. Man Made Catastrophe."
3292134,"30 Beats",2012,"New York. 3,882,544 Hommes. 4,292,589 Femmes. 1 Motivation."
3292148,"30 Day Feature Film Challenge: The Movie",2011,"Making a feature film in 30 days still sounds impossible."
3292193,"30 Girls 30 Days",2012,"He went from nerd to player in 30 days"
3292228,"30 Minutes or Less",2011,"A lot can happen in 30 minutes."
