id,title,year,gross
3281685,...So Goes the Nation,2006,10337
3282610,10 Items or Less,2006,81416
3282748,10 Questions for the Dalai Lama,2006,223517
3283756,10th & Wolf,2006,53481
3284110,12 and Holding,2005,95687
3284575,13 Going on 30,2004,57231747
3284901,1408,2007,71985628
3285229,16 Blocks,2006,36883539
3287643,2 Fast 2 Furious,2003,127154901
3289922,21 Grams,2003,16248701
3292169,30 Days of Night,2007,39568996
3292373,300,2006,210614939
3293021,39 Pounds of Love,2005,28125
3293063,3:10 to Yuma,2007,53606916
3294348,4: Rise of the Silver Surfer,2007,131921738
3295014,50 First Dates,2004,120908074
3295322,51 Birch Street,2005,84689
3297647,88 Minutes,2007,16930884
3298259,95 Miles to Go,2004,2203
3301636,A Cinderella Story,2004,51438175
3303806,A Day Without a Mexican,2004,4175179
3303933,A Decade Under the Influence,2003,34514
3304276,A Dirty Shame,2004,1339668
3306228,A Foreign Affair,2003,27516
3306310,A Four Letter Word,2007,72348
3307564,A Good Woman,2004,223144
3307567,A Good Year,2006,7458269
3307814,A Guide to Recognizing Your Saints,2006,516139
3307863,A Guy Thing,2003,15408822
3308417,A History of Violence,2005,31493782
3308542,A Home at the End of the World,2004,1029872
3308758,A House on a Hill,2003,678
3309046,A Jihad for Love,2007,105033
3309933,A Lawyer Walks Into a Bar...,2007,5008
3309945,A League of Ordinary Gentlemen,2004,18326
3311094,A Lot Like Love,2005,21835784
3311162,A Love Song for Bobby Long,2004,159171
3311571,A Man Apart,2003,26183197
3311668,A Man Named Pearl,2006,201603
3312530,A Mighty Heart,2007,9176787
3312535,A Mighty Wind,2003,17508936
3315756,A Plumm Summer,2007,3479557
3316029,A Prairie Home Companion,2006,20342852
3317916,A Scanner Darkly,2006,5501616
3318284,A Series of Unfortunate Events,2004,118627117
3319477,A Sound of Thunder,2005,1891821
3321345,A Thousand Years of Good Prayers,2007,76106
3328949,Absolute Wilson,2006,65768
3329634,Accepted,2006,36323505
3330984,Across the Universe,2007,24343673
3331986,Adam & Steve,2005,309384
3336279,After Innocence,2005,109210
3336471,After School Special,2003,26300
3336786,After the Sunset,2004,28328132
3337500,Against the Ropes,2004,5884190
3337952,Agent Cody Banks,2003,47811138
3337953,Agent Cody Banks 2: Destination London,2004,23222861
3339929,Aileen: Life and Death of a Serial Killer,2003,97362
3340301,Air Guitar Nation,2006,71471
3341588,Akeelah and the Bee,2006,18811135
3342610,Al Franken: God Spoke,2006,102990
3344718,Alex & Emma,2003,14208384
3344937,Alexander,2004,34297191
3345220,Alfie,2004,13399812
3346191,Alice Neel,2007,48969
3346856,Aliens of the Deep,2005,8968045
