id,title,year,keyword
3279981,"$100 & a T-Shirt: A Documentary About Zines in the Northwest",2004,"northwest,number-in-title,portland-oregon,zine"
3280103,"'77",2007,"1970s,apostrophe-in-title,film-buff,movie-fan,number-in-title,punctuation-in-title,year-in-title"
3280876,"'Tis Autumn: The Search for Jackie Paris",2006,character-name-in-title
3281685,"...So Goes the Nation",2006,"democracy,election,media,ohio,politician,politics,presidential-campaign,presidential-election,u.s.-president,vote-tampering,voting"
3281699,"...The Making of...",2003,"director,dv,dv-film,farce,mockumentary,set"
3281823,.45,2006,".45-calibre-pistol,abuse,abusive-boyfriend,abusive-relationship,arms-dealer,beating,beginning-morphed-with-ending,breasts,burglar,cheating,cleavage,death,domestic-violence,emotional-manipulation,female-frontal-nudity,female-full-frontal-nudity,female-in-shower,female-nudity,female-protagonist,finger-cut-off,flashback,framed-for-murder,friend,gun,honor-among-thieves,hypocrisy,interview,jealousy,lesbian,lesbian-kiss,lesbianism,male-nudity,male-rear-nudity,misogyny,mother-son-relationship,murder,new-york-city,nipples,number-in-title,panties,petty-crime,petty-criminal,pistol,public-defender,racism,rage,sex-in-bed,sex-in-shower,sex-montage,shower,white-panties"
3282094,1,2004,"football,football-player,football-team,high-school,high-school-student,number-in-title,one-word-title"
3282117,"1 2 3",2003,number-in-title
3282203,"1 Love",2003,number-in-title
3282235,"1 More Hit",2007,"drugs,f-rated"
3282343,"1, 2, 3, Whiteout",2007,"comma-in-title,four-word-title,number-1-in-title,number-2-in-title,number-3-in-title,number-in-title"
3282415,1-9,2007,"disability,educational,experimental,post-modern,science,silent-film,spiritual,supernatural,surrealism"
3282541,"10 Bullets",2007,number-in-title
3282542,"10 Bullets",2007,women
3282563,"10 Days in Malawi",2005,"africa,medical"
3282610,"10 Items or Less",2006,"actor,african-american,applying-makeup,arby's-restaurant,audio-cassette,automobile,backing-into-a-car,barreness,black-american,bloopers-during-credits,blouse,book-on-tape,bra,brentwood-california,california,car,car-crash,car-wash,cash-register,cashier,changing-clothes,checkout-clerk,cigarette-smoking,clothing,coin,compton-california,convenience-store,customer,department-store,diner's-club,driver,driving-a-car,effeminacy,estranged-husband,estranged-wife,fan,faun,fear-of-failure,fight,filmmaking,flirting,friend,friendship,gang-banger,gossip,grocery-store,helmet,high-five,hispanic-american,husband-wife-relationship,infertility,interview,job-interview,latina,latino,los-angeles-california,loudspeaker,microphone,mirror,mistaken-identity,montage,mop,movie-actor,movie-star,nail-polish,number-in-title,obscene-finger-gesture,office-worker,old-man,older-man-younger-woman-relationship,one-day-time-span,painting-toenails,pay-phone,pregnancy,prologue,public-restroom,receipt,reckless-driving,reference-to-ashley-judd,reference-to-barbie,reference-to-clint-eastwood,refinery,research,revenge,riding-in-a-car,roast-beef,saleswoman,sandwich,scene-during-end-credits,shopping,spanish,store-manager,t-shirt,tape-recording,target-store,telephone,telephone-call,title-spoken-by-character,toilet-paper,trailer-home,trailer-park,van,van-driver,videotape,wanting-a-divorce,watching-a-movie-on-tv,watching-television"
3282723,"10 MPH",2007,"expedition,mph,number-in-title,road-trip,scooter,segway,travel,usa"
3282748,"10 Questions for the Dalai Lama",2006,"buddhism,china,compassion,dalai-lama,dharamsala,india,non-violence,number-in-title,peace,tibet,world-peace"
3283011,"100 Greatest Songs of the Past 25 Years",2003,"number-in-title,song"
3283127,"100 Tears",2007,"circus,circus-performer,clown,father-daughter-kill-team,killer-clown,murder,number-in-title,serial-killer,sideshow,splatter,tampa-florida"
3283756,"10th & Wolf",2006,"1980s,1990s,accomplice,american-flag,armored-vehicle,artificial-leg,assassin,assault,asthmatic,attempted-rape,aunt-nephew-relationship,bar-brawl,bare-breasts,bartender,based-on-true-story,beaten-to-death,beaten-with-a-wooden-leg,beating,beating-a-military-officer,betrayal,blackmail,blood,blowing-up-a-security-gate,bludgeoning,brawl,breaking-a-bottle-over-someone's-head,briefcase-of-money,brig,broken-glass,brother-brother-relationship,burning-oil-well,bus,buying-a-house,cafe,camp-atterbury,cell-phone,cemetery,cigarette-smoking,clown,clubhouse,coffin,cousin-cousin-relationship,criminal-mob,crying,dead-body,death,death-of-father,death-of-mother,desert-storm,diner,disc-jockey-booth,drink,drinking,drug-deal,drug-smuggling,drug-trafficking,drug-use,drugs,drugstore,dying,eating,elevator,emergency-surgery,ex-u.s.-marine,explosion,family-dinner,family-relationships,father-son-relationship,fbi,fbi-agent,federal-bureau-of-investigation,female-bartender,female-nudity,fight,flashback,food,fragmentation-grenade,funeral,gate,gravestone,graveyard,grenade,gun,hitman,hitting-a-woman,hospital,hummer,husband-wife-relationship,immigrant,iraq,jasper-south-carolina,jeep,kicking,kiss,kitchen,knife,knife-in-skull,kuwait,kuwait-city,liar,lie,loss-of-brother,loss-of-father,loss-of-loved-one,love,mafia,mafia-boss,massacre,meat-grinder,meatpacking,mentally-challenged-person,military-officer,military-police,military-prison,mob-execution,mob-killing,money,mother-son-relationship,murder,murder-of-father,narrated-by-character,number-in-title,oil-well,oil-well-on-fire,one-legged-man,philadelphia-pennsylvania,prosthetic-limb,punch-into-the-camera,punched-in-the-face,punching-a-dead-body,putting-a-child-to-bed,rain,rape,rear-entry-sex,remorse,restaurant,revenge,revenge-killing,rock-'n'-roll,rocket-propelled-grenade,rpg,sadism,sadist,sergeant,severed-foot,sex,sex-standing-up,sex-with-clothes-on,shooting,shootout,shot-in-the-back,shot-in-the-chest,shot-in-the-head,shot-in-the-leg,shot-in-the-shoulder,shot-in-the-stomach,shot-point-blank,shot-to-death,sicilian,singing-opera-music,slaughterhouse,sociopath,south-philadelphia-pennsylvania,stabbed-in-the-back,stabbed-in-the-belly,stabbed-in-the-chest,stabbed-in-the-hand,stabbed-in-the-head,stabbed-in-the-skull,stabbing,starts-with-narration,strangulation,street-life,strip-club,stripper,tears,telephone-call,theft,thief,title-spoken-by-character,topless-dancing,topless-female-nudity,torture,u.s.-marine,uncle-nephew-relationship,undercover,violence,violence-against-women,voice-over-narration,whispering,widow,witness,woman-kills-attacker,wooden-leg,year-1984"
3283826,"11 Minutes Ago",2007,independent-film
3283922,"110%: When Blood, Sweat and Tears Are Not Enough",2006,number-in-title
3283982,"114 Days: The Race to Save a Dream",2006,"olympics,skeleton"
3284034,11:14,2003,"911,abortion,accidental-death,ambulance,american-flag,arrest,black-comedy,blood,blood-splatter,book-burning,botched-robbery,bowling-ball,boyfriend-girlfriend-relationship,broken-glass,broken-windshield,car-accident,car-trouble,castration,cell-phone,cemetery,chase,church,church-bell,cigarette-lighter,cigarette-smoking,closing-eyes-of-dead-person,collision-course,colon-in-title,condom,convenience-store,convenience-store-clerk,corpse,cover-up,crushed-head,cut-off-penis,dead-body-in-car,dead-woman-with-eyes-open,death,death-of-daughter,deceit,deer,deer-crossing,dental-braces,destroyed-evidence,dog,drinking,drunk-driving,drunkenness,dui,dying-during-sex,escape,falling-from-height,father-daughter-relationship,fire,flash-forward,flashback,flashlight,graveyard,gun,handcuffs,head-smashed-with-a-rock,hit-and-run,hit-by-a-car,hit-with-a-flashlight,husband-wife-relationship,in-medias-res,interlinked-stories,jumper-cable,karma,key,kiss,komodo-dragon,liar,lie,loss-of-daughter,mother-daughter-relationship,mother-son-relationship,multiple-perspectives,multiple-storyline,murder,nonlinear-timeline,number-in-title,orgasm,overpass,paramedic,penis,physical-abuse,pistol,police,police-car,policeman,premarital-sex,punctuation-in-title,reckless-driving,robbery,running,scam,scissors,secret,severed-penis,sex,sex-in-a-graveyard,shooting,shot-in-the-arm,sobriety-test,split-screen,statue,subjective-camera,teenage-boy,teenage-girl,telephone-call,theft,thief,time-for-title,traffic-light,underage-drinking,urination,van,vandalism,violence,watching-tv,witness"
3284053,11:59,2005,"independent-film,number-in-title,photojournalist,time-for-title"
3284089,12,2003,"california,drive-in,experimental-film,greek-mythology,guerilla-drive-in,hera,independent-film,light,los-angeles-california,mythology,number-in-title,pagan-comedy"
3284090,12,2003,"best-friend,friend,neo-noir,number-in-title,pope,teenager,urban-youth"
