id,title,year,taglines
3280876,"'Tis Autumn: The Search for Jackie Paris",2006,"The greatest voice you never heard"
3281368,"... Just a Job",2007,"You may call it murder, but to him it's... just a job."
3281685,"...So Goes the Nation",2006,"A true story of how elections are won...and lost"
3281699,"...The Making of...",2003,"The mockumentary with this tagline."
3281823,.45,2006,"Nobody does revenge like a woman."
3282094,1,2004,"You'd think it was a high school football factory. You'll find it's much more.,It's not about X's and O's, it's about having faith in something larger than oneself.,De La Salle: The other high school you see on the news."
3282117,"1 2 3",2003,"Who said 1 2 3 was easy?"
3282235,"1 More Hit",2007,"Every Great Musician Needs One."
3282343,"1, 2, 3, Whiteout",2007,"From the city of light comes a radical call for darkness."
3282541,"10 Bullets",2007,"For ten days she owned the nights"
3282563,"10 Days in Malawi",2005,"Experience the beauty and the despair of the African people through the eyes of four American volunteers spending ""10 Days in Malawi"""
3282610,"10 Items or Less",2006,"Sometimes in Life You Have to Change Lanes.,You Are Who You Meet"
3282748,"10 Questions for the Dalai Lama",2006,"One man's journey through the northern Himalayas,If you only had one hour, what would you ask?"
3282863,"10,000 Apologies",2006,"10,000 Apologies to My Ancestors...and still counting"
3283127,"100 Tears",2007,"It's gonna hurt.,Go ahead... let it all out."
3283409,"1000 Journals",2007,"This is an experiment and you are part of it"
3283756,"10th & Wolf",2006,"The intersection where family, honor and betrayal collide.,Where an ounce of blood is worth more than a pound of friendship..."
3283826,"11 Minutes Ago",2007,"If you can only travel to our time in 11-minute increments...don't fall in love."
3283864,"11,830,420",2004,"Nobody is as they seem in this story of relationships, which depicts how lives so closely tied can unravel at an incessant pace when tragedies test loyalties."
3284034,11:14,2003,"Fate can change in seconds,For even the devil disguises himself as the angel of light.,Each coincidence, each detail, is part of your destiny.,At that time of night, many lives were lost,Life's a night, then you die,A dark comedy with killer timing"
3284089,12,2003,"The Greek Gods are alive and well and living in Los Angeles"
3284090,12,2003,"In Faith we live, In Faith we love and In Faith we die"
3284110,"12 and Holding",2005,"Do You Know Who Your Kids Are?,The end of innocence is just the beginning.,When one of four inseperable friends is mistakenly murdered the film explores how grief, love and self-esteem play major roles in the construction of adolescence."
3284575,"13 Going on 30",2004,"For some, 13 feels like it was just yesterday. For Jenna, it was.,A comedy for the kid in all of us.,Mancher fühlt sich, als wäre er erst gestern 13 gewesen. Für Jenna ist es so. (Some people feel like they were 13 just yesterday. Jenna was.),Jede Frau hat ein Geheimnis - ihres ist wirklich zauberhaft. (Every woman has a secret - hers is really magical.)"
3284620,"13 Months of Sunshine",2007,"She needed the card. He needed the cash. The American Dream just got a little more complex.,Inspired by true events."
3284784,"13th Grade",2005,"Senior year just got an encore."
